rows,text,date,number,type
5,1,0,2,pie
1,1,0,2,pie
4,1,0,5,columnStacked
96,0,0,4,dualAxis
61,0,0,3,areaStep
11,1,0,2,dualAxis
31,0,1,3,line
5,2,0,1,pie
11,1,0,0,areaStacked
11,1,0,0,line
4,1,0,0,columnPacked
3,1,0,2,column
14,1,0,1,column
14,1,0,2,bar
16,1,0,4,line
3,1,0,1,bar
56,1,0,2,scatter
18,1,0,2,scatter
496,0,1,3,stockLine
73,0,0,6,line
877,0,1,2,line
64,1,0,3,line
145,0,1,2,column
6,1,0,8,dualAxis
15,0,0,2,areaStacked
5,1,0,0,columnPacked
4,1,0,1,bar
5,1,0,1,pie
5,1,0,1,pie
5,1,0,1,pie
5,1,0,1,pie
9,2,0,2,columnPacked
2,1,0,3,column
7,1,0,1,columnPacked
41,1,0,1,barPacked
55,0,0,3,line
4,1,0,21,line
4,1,0,7,columnStacked
7,1,0,1,pie
2,1,0,1,pie
16,1,0,2,grid
5,2,0,57,scatterLine
55,0,0,3,line
55,0,0,3,line
55,0,0,3,line
7,1,0,1,bar
16,1,0,2,grid
32,1,0,2,scatter
7,1,0,1,column
5,1,0,3,column
728,0,1,2,stockLine
4,1,0,7,columnStacked
7,1,0,1,columnPacked
4,1,0,7,columnStacked
4,0,0,7,columnStacked
7,1,0,1,columnPacked
35,0,1,6,stockLine
434,0,1,2,stockLine
7,1,0,1,columnPacked
7,2,0,3,columnStacked
3679,0,1,10,stockLine
6,2,0,3,pie
4,1,0,7,columnStacked
6,2,0,3,scatterLine
18,4,0,0,grid
1,1,0,28,bar
10,2,0,1,pie
20,1,0,1,bar
28,1,0,2,bar
22,1,0,4,line
27,1,0,0,line
5,1,0,0,column
75,1,0,0,line
5,1,0,2,bar
49,1,0,5,line
4,1,0,1,column
8,0,0,0,line
7,1,0,4,grid
20,1,0,1,bar
12,1,0,1,bar
8,1,0,2,areaStacked
85,1,0,5,areaStacked
38,1,0,1,lineStep
1,1,0,6,column
13,2,0,0,grid
55,0,0,3,bar
7,1,0,2,columnPacked
6,1,0,3,column
13,1,0,3,column
3,1,0,1,columnPacked
18,1,0,3,column
7,2,0,2,columnPacked
7,1,0,1,columnPacked
48,0,1,2,line
7,1,0,1,columnPacked
3,1,0,1,line
8,1,0,2,columnStacked
55,0,0,3,line
8,1,0,2,scatter
44,0,1,2,line
4,1,0,3,columnStacked
11,4,0,0,grid
1,1,0,2,bar
7,1,0,1,bar
116,1,0,3,line
7,1,0,1,bar
3,1,0,25,line
30,1,0,2,area
3,1,0,25,line
69,0,1,1,scatter
121,0,1,20,stockSpline
49,0,1,20,spline
2,1,0,2,columnPacked
25,1,0,3,line
41,1,0,2,line
22,1,0,2,dualAxis
451,0,1,2,stockDualAxis
49,1,0,2,line
1,1,0,5,pie
9,1,0,1,barPacked
12,1,0,0,barPacked
19,1,0,1,line
13,1,0,4,line
15,1,0,0,barPacked
1,1,0,8,pie
10,1,0,1,area
30,0,1,6,stockLine
13,1,0,2,line
24,1,0,2,line
