rows,text,date,number,type
36,3,0,0,13
12,0,0,7,9
2609,0,1,1,24
23,0,0,2,14
3679,1,0,0,16
561,0,1,2,16
553,1,0,2,16
4,1,0,4,8
9,3,0,0,13
7,1,0,1,16
4,1,0,4,13
167,0,1,1,24
25,0,0,3,24
21,1,0,0,4
23,1,0,3,8
10,1,0,2,4
6,1,0,2,12
45,0,0,0,14
4,1,0,4,14
7,1,0,1,16
11,1,0,1,16
1,1,0,9,4
8,2,0,1,17
23,1,0,2,19
2,1,0,2,8
25,1,0,3,14
4,1,0,4,8
11,1,0,1,8
3,1,0,18,9
10,1,0,0,8
6,1,0,3,8
11,1,0,0,8
12,1,0,1,14
6,2,0,2,12
7,1,0,1,9
10,1,0,1,4
10,0,1,1,8
10,1,1,0,14
3,2,0,1,11
7,2,0,1,9
13,1,0,1,8
10,3,0,0,9
8,0,0,2,14
16,1,0,2,13
7,1,0,6,8
4,1,0,7,10
65,0,1,5,24
324,0,1,1,24
3,2,0,2,8
16,1,0,2,13
6,1,0,2,9
5,1,0,4,6
65,0,1,5,24
18,0,0,4,14
9,1,0,2,14
17,1,0,1,14
16,3,0,0,13
10,2,0,0,13
9,6,0,0,13
3,1,0,6,6
10,1,0,0,13
12,1,0,2,10
4,1,0,4,8
4,0,0,7,14
13,1,0,5,14
21,0,1,3,14
7,1,0,3,5
13,2,0,1,13
42,0,0,0,3
31,0,0,0,8
4,1,0,2,16
4,1,0,4,8
4,1,0,4,8
4,1,0,4,8
4,1,0,4,8
16,2,0,3,13
10,3,0,0,13
4,1,0,4,17
22,4,0,0,13
23,4,0,0,13
8,1,0,1,8
2,1,0,1,16
100,0,0,0,12
4,1,0,4,8
4,1,0,4,8
48,1,0,0,14
840,0,1,1,24
4,1,0,4,8
78,0,1,1,24
4,1,0,4,8
121,0,1,1,24
5,1,0,4,16
5,1,0,4,16
5,1,0,4,16
5,1,0,4,16
4,2,0,0,13
22,0,0,2,14
2,1,0,2,9
13,1,0,1,4
4,1,0,4,8
5,1,0,5,14
50,1,0,2,18
50,1,0,2,18
1,1,0,0,4
50,1,0,2,18
38,1,0,2,18
50,1,0,2,18
50,1,0,2,18
9,1,0,1,8
42,1,0,1,8
2,1,0,2,8
81,0,0,0,14
7,6,0,0,13
6,4,0,0,13
7,1,0,1,16
7,1,0,2,8
